Fondsposition per,"17.Sept.2026"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"EMAAR","EMAAR PROPERTIES","Immobilien","Aktien","66.864.325,63","0,14","66.864.325,63","20.812.088,00","3,21","Ver. Arabische Emirate","Dubai Financial Market","AED"
"2408","NANYA TECHNOLOGY CORP","IT","Aktien","66.260.550,46","0,14","66.260.550,46","4.329.000,00","15,31","Taiwan","Taiwan Stock Exchange","TWD"
"035420","NAVER","Kommunikation","Aktien","65.693.693,05","0,14","65.693.693,05","456.109,00","144,03","Korea","Korea Exchange (Stock Market)","KRW"
"FEMSAUBD","FOMENTO ECONOMICO MEXICANO","Nichtzyklische Konsumgüter","Aktien","64.423.291,21","0,14","64.423.291,21","5.362.689,00","12,01","Mexiko","Bolsa Mexicana De Valores","MXN"
"068270","CELLTRION","Gesundheitsversorgung","Aktien","64.075.565,09","0,14","64.075.565,09","491.015,00","130,50","Korea","Korea Exchange (Stock Market)","KRW"
"2886","MEGA FINANCIAL HOLDING LTD","Finanzwesen","Aktien","62.838.330,54","0,14","62.838.330,54","38.601.986,00","1,63","Taiwan","Taiwan Stock Exchange","TWD"
"2890","SINOPAC FINANCIAL HOLDINGS","Finanzwesen","Aktien","62.730.163,18","0,14","62.730.163,18","43.525.450,00","1,44","Taiwan","Taiwan Stock Exchange","TWD"
"1088","CHINA SHENHUA ENERGY LTD H","Energie","Aktien","62.696.862,59","0,14","62.696.862,59","10.999.500,00","5,70","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"5274","ASPEED TECHNOLOGY","IT","Aktien","62.587.540,19","0,14","62.587.540,19","109.190,00","573,20","Taiwan","Gretai Securities Market","TWD"
"TCS","TATA CONSULTANCY SERVICES LTD","IT","Aktien","62.126.056,96","0,13","62.126.056,96","2.721.561,00","22,83","Indien","National Stock Exchange Of India","INR"
"SCCO","SOUTHERN COPPER CORP","Materialien","Aktien","61.179.063,93","0,13","61.179.063,93","311.963,00","196,11","Peru","New York Stock Exchange Inc.","USD"
